field,expected_nonempty,actual_nonempty,coverage,exact_accuracy
MFR URL,2,0,1.0,0.0
Ref URL 1,1,0,0.5,0.0
Ref URL 2,1,0,0.5,0.0
Ref URL 3,0,0,0.0,0.0
Ref URL 4,0,0,0.0,0.0
Ref URL 5,0,0,0.0,0.0
PART_NUMBER,2,2,1.0,0.0
Dept,2,0,1.0,0.0
Class,2,0,1.0,0.0
Fine,2,0,1.0,0.0
SKU - MY_PART_NUMBER,2,0,1.0,0.0
Mfg_Part_Num,2,2,1.0,0.0
Part_Desc,2,2,1.0,0.0
E1_Brand,2,2,1.0,0.0
Unilog_Brand,2,0,1.0,0.0
DIB_Brand,2,0,1.0,0.0
Part_Manuf,2,2,1.0,0.0
MANUFACTURER_NAME,2,2,1.0,0.0
BRAND_NAME,2,2,1.0,0.0
TRADE_NAME,0,0,0.0,0.0
MANUFACTURER_PART_NUMBER,2,2,1.0,0.0
ALTERNATE_PART_NUMBER,0,0,0.0,0.0
Classpath,2,0,1.0,0.0
MOBILE_DESC,2,0,1.0,0.0
INVOICE_DESC,2,0,1.0,0.0
SHORT_DESC,2,0,1.0,0.0
LONG_DESC1,2,0,1.0,0.0
RETAIL_DESC,2,0,1.0,0.0
MARKETING_DESCRIPTION,1,0,0.5,0.0
ITEM_FEATURES_1,1,0,0.5,0.0
ITEM_FEATURES_2,1,0,0.5,0.0
ITEM_FEATURES_3,1,0,0.5,0.0
ITEM_FEATURES_4,1,0,0.5,0.0
ITEM_FEATURES_5,1,0,0.5,0.0
ITEM_FEATURES_6,1,0,0.5,0.0
ITEM_FEATURES_7,1,0,0.5,0.0
ITEM_FEATURES_8,1,0,0.5,0.0
ITEM_FEATURES_9,1,0,0.5,0.0
ITEM_FEATURES_10,1,0,0.5,0.0
ITEM_FEATURES_11,1,0,0.5,0.0
ITEM_FEATURES_12,0,0,0.0,0.0
ITEM_FEATURES_13,0,0,0.0,0.0
ITEM_FEATURES_14,0,0,0.0,0.0
ITEM_FEATURES_15,0,0,0.0,0.0
ITEM_FEATURES_16,0,0,0.0,0.0
ITEM_FEATURES_17,0,0,0.0,0.0
ITEM_FEATURES_18,0,0,0.0,0.0
ITEM_FEATURES_19,0,0,0.0,0.0
ITEM_FEATURES_20,0,0,0.0,0.0
With,2,0,1.0,0.0
Standard/Approvals,1,0,0.5,0.0
Prop 65,0,0,0.0,0.0
Application,0,0,0.0,0.0
Includes,0,0,0.0,0.0
Product Name,2,1,1.0,0.0
ATTRIBUTE_LABEL 1,2,0,1.0,0.0
ATTRIBUTE_VALUE 1,2,0,1.0,0.0
ATTRIBUTE_UOM 1,0,0,0.0,0.0
ATTRIBUTE_LABEL 2,2,0,1.0,0.0
ATTRIBUTE_VALUE 2,0,0,0.0,0.0
ATTRIBUTE_UOM 2,0,0,0.0,0.0
ATTRIBUTE_LABEL 3,2,0,1.0,0.0
ATTRIBUTE_VALUE 3,1,0,0.5,0.0
ATTRIBUTE_UOM 3,0,0,0.0,0.0
ATTRIBUTE_LABEL 4,2,0,1.0,0.0
ATTRIBUTE_VALUE 4,2,0,1.0,0.0
ATTRIBUTE_UOM 4,2,0,1.0,0.0
ATTRIBUTE_LABEL 5,2,0,1.0,0.0
ATTRIBUTE_VALUE 5,2,0,1.0,0.0
ATTRIBUTE_UOM 5,2,0,1.0,0.0
ATTRIBUTE_LABEL 6,2,0,1.0,0.0
ATTRIBUTE_VALUE 6,2,0,1.0,0.0
ATTRIBUTE_UOM 6,0,0,0.0,0.0
ATTRIBUTE_LABEL 7,2,0,1.0,0.0
ATTRIBUTE_VALUE 7,0,0,0.0,0.0
ATTRIBUTE_UOM 7,0,0,0.0,0.0
ATTRIBUTE_LABEL 8,2,0,1.0,0.0
ATTRIBUTE_VALUE 8,2,0,1.0,0.0
ATTRIBUTE_UOM 8,0,0,0.0,0.0
ATTRIBUTE_LABEL 9,2,0,1.0,0.0
ATTRIBUTE_VALUE 9,2,0,1.0,0.0
ATTRIBUTE_UOM 9,2,0,1.0,0.0
ATTRIBUTE_LABEL 10,2,0,1.0,0.0
ATTRIBUTE_VALUE 10,2,0,1.0,0.0
ATTRIBUTE_UOM 10,1,0,0.5,0.0
ATTRIBUTE_LABEL 11,2,0,1.0,0.0
ATTRIBUTE_VALUE 11,1,0,0.5,0.0
ATTRIBUTE_UOM 11,0,0,0.0,0.0
ATTRIBUTE_LABEL 12,2,0,1.0,0.0
ATTRIBUTE_VALUE 12,2,0,1.0,0.0
ATTRIBUTE_UOM 12,2,0,1.0,0.0
ATTRIBUTE_LABEL 13,2,0,1.0,0.0
ATTRIBUTE_VALUE 13,2,0,1.0,0.0
ATTRIBUTE_UOM 13,0,0,0.0,0.0
ATTRIBUTE_LABEL 14,2,0,1.0,0.0
ATTRIBUTE_VALUE 14,1,0,0.5,0.0
ATTRIBUTE_UOM 14,0,0,0.0,0.0
ATTRIBUTE_LABEL 15,2,0,1.0,0.0
ATTRIBUTE_VALUE 15,2,0,1.0,0.0
ATTRIBUTE_UOM 15,0,0,0.0,0.0
ATTRIBUTE_LABEL 16,0,0,0.0,0.0
ATTRIBUTE_VALUE 16,0,0,0.0,0.0
ATTRIBUTE_UOM 16,0,0,0.0,0.0
ATTRIBUTE_LABEL 17,0,0,0.0,0.0
ATTRIBUTE_VALUE 17,0,0,0.0,0.0
ATTRIBUTE_UOM 17,0,0,0.0,0.0
ATTRIBUTE_LABEL 18,0,0,0.0,0.0
ATTRIBUTE_VALUE 18,0,0,0.0,0.0
ATTRIBUTE_UOM 18,0,0,0.0,0.0
ATTRIBUTE_LABEL 19,0,0,0.0,0.0
ATTRIBUTE_VALUE 19,0,0,0.0,0.0
ATTRIBUTE_UOM 19,0,0,0.0,0.0
ATTRIBUTE_LABEL 20,0,0,0.0,0.0
ATTRIBUTE_VALUE 20,0,0,0.0,0.0
ATTRIBUTE_UOM 20,0,0,0.0,0.0
ATTRIBUTE_LABEL 21,0,0,0.0,0.0
ATTRIBUTE_VALUE 21,0,0,0.0,0.0
ATTRIBUTE_UOM 21,0,0,0.0,0.0
ATTRIBUTE_LABEL 22,0,0,0.0,0.0
ATTRIBUTE_VALUE 22,0,0,0.0,0.0
ATTRIBUTE_UOM 22,0,0,0.0,0.0
ATTRIBUTE_LABEL 23,0,0,0.0,0.0
ATTRIBUTE_VALUE 23,0,0,0.0,0.0
ATTRIBUTE_UOM 23,0,0,0.0,0.0
ATTRIBUTE_LABEL 24,0,0,0.0,0.0
ATTRIBUTE_VALUE 24,0,0,0.0,0.0
ATTRIBUTE_UOM 24,0,0,0.0,0.0
ATTRIBUTE_LABEL 25,0,0,0.0,0.0
ATTRIBUTE_VALUE 25,0,0,0.0,0.0
ATTRIBUTE_UOM 25,0,0,0.0,0.0
ATTRIBUTE_LABEL 26,0,0,0.0,0.0
ATTRIBUTE_VALUE 26,0,0,0.0,0.0
ATTRIBUTE_UOM 26,0,0,0.0,0.0
ATTRIBUTE_LABEL 27,0,0,0.0,0.0
ATTRIBUTE_VALUE 27,0,0,0.0,0.0
ATTRIBUTE_UOM 27,0,0,0.0,0.0
ATTRIBUTE_LABEL 28,0,0,0.0,0.0
ATTRIBUTE_VALUE 28,0,0,0.0,0.0
ATTRIBUTE_UOM 28,0,0,0.0,0.0
ATTRIBUTE_LABEL 29,0,0,0.0,0.0
ATTRIBUTE_VALUE 29,0,0,0.0,0.0
ATTRIBUTE_UOM 29,0,0,0.0,0.0
ATTRIBUTE_LABEL 30,0,0,0.0,0.0
ATTRIBUTE_VALUE 30,0,0,0.0,0.0
ATTRIBUTE_UOM 30,0,0,0.0,0.0
ATTRIBUTE_LABEL 31,0,0,0.0,0.0
ATTRIBUTE_VALUE 31,0,0,0.0,0.0
ATTRIBUTE_UOM 31,0,0,0.0,0.0
ATTRIBUTE_LABEL 32,0,0,0.0,0.0
ATTRIBUTE_VALUE 32,0,0,0.0,0.0
ATTRIBUTE_UOM 32,0,0,0.0,0.0
ATTRIBUTE_LABEL 33,0,0,0.0,0.0
ATTRIBUTE_VALUE 33,0,0,0.0,0.0
ATTRIBUTE_UOM 33,0,0,0.0,0.0
ATTRIBUTE_LABEL 34,0,0,0.0,0.0
ATTRIBUTE_VALUE 34,0,0,0.0,0.0
ATTRIBUTE_UOM 34,0,0,0.0,0.0
ATTRIBUTE_LABEL 35,0,0,0.0,0.0
ATTRIBUTE_VALUE 35,0,0,0.0,0.0
ATTRIBUTE_UOM 35,0,0,0.0,0.0
ATTRIBUTE_LABEL 36,0,0,0.0,0.0
ATTRIBUTE_VALUE 36,0,0,0.0,0.0
ATTRIBUTE_UOM 36,0,0,0.0,0.0
ATTRIBUTE_LABEL 37,0,0,0.0,0.0
ATTRIBUTE_VALUE 37,0,0,0.0,0.0
ATTRIBUTE_UOM 37,0,0,0.0,0.0
ATTRIBUTE_LABEL 38,0,0,0.0,0.0
ATTRIBUTE_VALUE 38,0,0,0.0,0.0
ATTRIBUTE_UOM 38,0,0,0.0,0.0
ATTRIBUTE_LABEL 39,0,0,0.0,0.0
ATTRIBUTE_VALUE 39,0,0,0.0,0.0
ATTRIBUTE_UOM 39,0,0,0.0,0.0
ATTRIBUTE_LABEL 40,0,0,0.0,0.0
ATTRIBUTE_VALUE 40,0,0,0.0,0.0
ATTRIBUTE_UOM 40,0,0,0.0,0.0
ATTRIBUTE_LABEL 41,0,0,0.0,0.0
ATTRIBUTE_VALUE 41,0,0,0.0,0.0
ATTRIBUTE_UOM 41,0,0,0.0,0.0
ATTRIBUTE_LABEL 42,0,0,0.0,0.0
ATTRIBUTE_VALUE 42,0,0,0.0,0.0
ATTRIBUTE_UOM 42,0,0,0.0,0.0
ATTRIBUTE_LABEL 43,0,0,0.0,0.0
ATTRIBUTE_VALUE 43,0,0,0.0,0.0
ATTRIBUTE_UOM 43,0,0,0.0,0.0
ATTRIBUTE_LABEL 44,0,0,0.0,0.0
ATTRIBUTE_VALUE 44,0,0,0.0,0.0
ATTRIBUTE_UOM 44,0,0,0.0,0.0
ATTRIBUTE_LABEL 45,0,0,0.0,0.0
ATTRIBUTE_VALUE 45,0,0,0.0,0.0
ATTRIBUTE_UOM 45,0,0,0.0,0.0
ATTRIBUTE_LABEL 46,0,0,0.0,0.0
ATTRIBUTE_VALUE 46,0,0,0.0,0.0
ATTRIBUTE_UOM 46,0,0,0.0,0.0
ATTRIBUTE_LABEL 47,0,0,0.0,0.0
ATTRIBUTE_VALUE 47,0,0,0.0,0.0
ATTRIBUTE_UOM 47,0,0,0.0,0.0
ATTRIBUTE_LABEL 48,0,0,0.0,0.0
ATTRIBUTE_VALUE 48,0,0,0.0,0.0
ATTRIBUTE_UOM 48,0,0,0.0,0.0
ATTRIBUTE_LABEL 49,0,0,0.0,0.0
ATTRIBUTE_VALUE 49,0,0,0.0,0.0
ATTRIBUTE_UOM 49,0,0,0.0,0.0
ATTRIBUTE_LABEL 50,0,0,0.0,0.0
ATTRIBUTE_VALUE 50,0,0,0.0,0.0
ATTRIBUTE_UOM 50,0,0,0.0,0.0
UPC,0,0,0.0,0.0
EAN,0,0,0.0,0.0
GTIN,0,0,0.0,0.0
UNSPSC,0,0,0.0,0.0
Warranty,1,0,0.5,0.0
List Price,0,0,0.0,0.0
Selling Qty,0,2,0.0,0.0
Selling UOM,0,0,0.0,0.0
Standard Packaging Information,0,0,0.0,0.0
LENGTH,0,0,0.0,0.0
LENGTH_UOM,0,0,0.0,0.0
HEIGHT,0,0,0.0,0.0
HEIGHT_UOM,0,0,0.0,0.0
WIDTH,0,0,0.0,0.0
WIDTH_UOM,0,0,0.0,0.0
WEIGHT,0,0,0.0,0.0
WEIGHT_UOM,0,0,0.0,0.0
VOLUME,0,0,0.0,0.0
VOLUME_UOM,0,0,0.0,0.0
Product Image,2,0,1.0,0.0
Alternate Image 1,1,0,0.5,0.0
Alternate Image 2,1,0,0.5,0.0
Alternate Image 3,1,0,0.5,0.0
Alternate Image 4,1,0,0.5,0.0
SDS,0,0,0.0,0.0
SDS_1,0,0,0.0,0.0
Warranty Information,0,0,0.0,0.0
Catalog,0,0,0.0,0.0
Specification Sheet,2,0,1.0,0.0
Instruction/Installation Manual,0,0,0.0,0.0
Service Manual,0,0,0.0,0.0
Owners/User Manual,0,0,0.0,0.0
Line Drawing,0,0,0.0,0.0
MTR,0,0,0.0,0.0
RoHS,0,0,0.0,0.0
Full Engineering Drawing,0,0,0.0,0.0
Energy Star Guide,0,0,0.0,0.0
Technical Bulletin,0,0,0.0,0.0
Submittal,0,0,0.0,0.0
Compatibility Chart,0,0,0.0,0.0
Size Chart,0,0,0.0,0.0
Product Label/Insert,0,0,0.0,0.0
Video Link,0,0,0.0,0.0
Video Link 1,0,0,0.0,0.0
Country Of Origin,0,0,0.0,0.0
Discontinued,0,0,0.0,0.0
Actual Image (Yes/No),2,0,1.0,0.0
