mpn,description,brand,manufacturer,product_type,diameter,thickness,arbor,length,width,height,pack_quantity,status,evidence_count,confidence,search_text
DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",Diablo,Freud Inc,Sanding Belt,,,,,,,6.0,accepted,2,"{'product_type': 0.7, 'pack_quantity': 0.7}","{'brand': 'Diablo', 'source': 'description', 'confidence': 0.85, 'candidates': ['Diablo']} | {'value': 'Freud Inc', 'score': 100.0, 'match': 'Freud Inc'}"
3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,3M,Jam Industrial Supply LLC,,,,,,,,50.0,accepted,1,{'pack_quantity': 0.7},"{'brand': '3M', 'source': 'description', 'confidence': 0.85, 'candidates': ['3M']} | {'value': 'Jam Industrial Supply LLC', 'score': 100.0, 'match': 'Jam Industrial Supply LLC'}"
3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,3M,Jam Industrial Supply LLC,,,,,,,,50.0,accepted,1,{'pack_quantity': 0.7},"{'brand': '3M', 'source': 'description', 'confidence': 0.85, 'candidates': ['3M']} | {'value': 'Jam Industrial Supply LLC', 'score': 100.0, 'match': 'Jam Industrial Supply LLC'}"
3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,3M,Jam Industrial Supply LLC,,,,,,,,50.0,accepted,1,{'pack_quantity': 0.7},"{'brand': '3M', 'source': 'description', 'confidence': 0.85, 'candidates': ['3M']} | {'value': 'Jam Industrial Supply LLC', 'score': 100.0, 'match': 'Jam Industrial Supply LLC'}"
3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,3M,Jam Industrial Supply LLC,,,,,,,,50.0,accepted,1,{'pack_quantity': 0.7},"{'brand': '3M', 'source': 'description', 'confidence': 0.85, 'candidates': ['3M']} | {'value': 'Jam Industrial Supply LLC', 'score': 100.0, 'match': 'Jam Industrial Supply LLC'}"
3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,3M,Jam Industrial Supply LLC,,,,,,,,50.0,accepted,1,{'pack_quantity': 0.7},"{'brand': '3M', 'source': 'description', 'confidence': 0.85, 'candidates': ['3M']} | {'value': 'Jam Industrial Supply LLC', 'score': 100.0, 'match': 'Jam Industrial Supply LLC'}"
3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,3M,Jam Industrial Supply LLC,,,,,,,,50.0,accepted,1,{'pack_quantity': 0.7},"{'brand': '3M', 'source': 'description', 'confidence': 0.85, 'candidates': ['3M']} | {'value': 'Jam Industrial Supply LLC', 'score': 100.0, 'match': 'Jam Industrial Supply LLC'}"
5B-332-080,"5B-332-080 HIOLIT 5"" P80",,Mirka Abrasives Inc,,,,,,,,,accepted,0,{},"{'brand': None, 'source': None, 'confidence': 0.0, 'candidates': []} | {'value': 'Mirka Abrasives Inc', 'score': 100.0, 'match': 'Mirka Abrasives Inc'}"
5B-332-120,"5B-332-120 HIOLIT 5"" P120",,Mirka Abrasives Inc,,,,,,,,,accepted,0,{},"{'brand': None, 'source': None, 'confidence': 0.0, 'candidates': []} | {'value': 'Mirka Abrasives Inc', 'score': 100.0, 'match': 'Mirka Abrasives Inc'}"
9A-570-240,9A-570-240 Abranet 2.75x30,,Mirka Abrasives Inc,,,,,,,,,accepted,0,{},"{'brand': None, 'source': None, 'confidence': 0.0, 'candidates': []} | {'value': 'Mirka Abrasives Inc', 'score': 100.0, 'match': 'Mirka Abrasives Inc'}"
9A-570-320,9A-570-320 Abranet 2.75x30,,Mirka Abrasives Inc,,,,,,,,,accepted,0,{},"{'brand': None, 'source': None, 'confidence': 0.0, 'candidates': []} | {'value': 'Mirka Abrasives Inc', 'score': 100.0, 'match': 'Mirka Abrasives Inc'}"
